subject,question_topic,question,answer,place_holder,rows,answer_type,error_message,image_url,reference_url,reference_time,reference_url2,reference_time2,reference_url3,reference_time3,reference_url4,reference_time4
HTML,Basics,"What are the elements created for providing a semantic container for figures, and to clearly link the figure to the caption.","&lt;figure&gt;
  &lt;img src=""image.jpg"" alt=""Some image""&gt;
  &lt;figcaption&gt;Some image.&lt;/figcaption&gt;
&lt;/figure&gt;","...
  <img src=""image.jpg"" alt=""Some image"">
   ...
...",3,code-type,Wrong,,https://developer.mozilla.org/en-US/docs/Learn/HTML/Multimedia_and_embedding/Images_in_HTML,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
